--- STDOUT ---
[2025-05-21 18:22:23.648955] [0x000026c8] [debug]   TriangleMesh::repair() started
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 18:22:23.914851] [0x000026c8] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
